Emp_ID,Name,Department,Age,Salary,Experience
101,Ali Khan,HR,25,45000,2
102,Sara Ahmed,IT,28,70000,5
103,Bilal Hussain,Finance,31,85000,7
104,Ayesha Malik,Marketing,26,55000,3
105,Hamza Tariq,IT,29,78000,6
106,Fatima Noor,HR,24,42000,1
107,Usman Shah,Sales,35,95000,10
108,Hina Raza,Finance,30,82000,6
109,Ahmed Iqbal,Marketing,27,60000,4
110,Zain Ali,IT,23,48000,1
111,Maham Khan,Sales,32,88000,8
112,Danish Butt,HR,29,58000,5
113,Sana Javed,Finance,34,92000,9
114,Fahad Sheikh,IT,26,65000,3
115,Komal Asif,Marketing,28,62000,4
116,Imran Qureshi,Sales,37,105000,12
117,Rabia Siddiqui,HR,31,68000,7
118,Talha Nadeem,IT,27,72000,5
119,Maryam Yousaf,Finance,25,53000,2
120,Saad Hassan,Marketing,33,89000,8
