Order_ID,Date,Customer,Age,City,Department,Product,Category,Quantity,Unit_Price,Discount,Total_Sales,Payment_Method,Status,Rating
ORD001,2026-03-04,Hassan Rauf,26,Faisalabad,IT,Phone,Accessories,1,65000,0.1,58500.0,Cash,Cancelled,4
ORD002,2026-02-25,Hassan Rauf,50,Hyderabad,IT,Laptop,Electronics,1,120000,0.0,120000.0,Card,Cancelled,4
ORD003,2026-01-02,Sana Malik,28,Faisalabad,Finance,Keyboard,Accessories,4,4500,0.1,16200.0,Bank Transfer,Completed,2
ORD004,2026-01-24,Hira Shah,24,Islamabad,HR,Keyboard,Accessories,3,4500,0.0,13500.0,Bank Transfer,Completed,4
ORD005,2026-05-22,Bilal Ahmed,41,Hyderabad,Sales,Phone,Accessories,4,65000,0.0,260000.0,Cash,Completed,2
ORD006,2026-01-26,Hira Shah,35,Rawalpindi,Operations,Mouse,Accessories,1,2500,0.05,2375.0,Bank Transfer,Completed,3
ORD007,2026-06-29,Shahzaib Ali,22,Hyderabad,Operations,Monitor,Electronics,2,35000,0.1,63000.0,Card,Cancelled,2
ORD008,2026-03-11,Shahzaib Ali,53,Lahore,Operations,Headphones,Electronics,4,8000,0.15,27200.0,Bank Transfer,Completed,2
ORD009,2026-03-10,Sara Ahmed,31,Hyderabad,Operations,Laptop,Electronics,3,120000,0.15,306000.0,Bank Transfer,Completed,4
ORD010,2026-03-09,Hamza Malik,33,Faisalabad,Marketing,Tablet,Electronics,4,55000,0.05,209000.0,Bank Transfer,Cancelled,4
ORD011,2026-02-05,Anum Ahmed,49,Karachi,IT,Tablet,Electronics,3,55000,0.05,156750.0,Cash,Completed,2
ORD012,2026-04-09,Hira Shah,47,Hyderabad,HR,Tablet,Electronics,5,55000,0.0,275000.0,Cash,Completed,5
ORD013,2026-03-17,Owais Raza,28,Rawalpindi,IT,Mouse,Accessories,3,2500,0.0,7500.0,Bank Transfer,Cancelled,2
ORD014,2026-02-09,Danish Khan,28,Hyderabad,Marketing,Phone,Accessories,3,65000,0.05,185250.0,Cash,Cancelled,3
ORD015,2026-04-03,Areeba Shah,37,Lahore,IT,Smartwatch,Electronics,1,18000,0.0,18000.0,Card,Cancelled,1
ORD016,2026-05-17,Sana Malik,26,Lahore,Operations,Phone,Accessories,4,65000,0.0,260000.0,EasyPaisa,Cancelled,2
ORD017,2026-02-24,Shahzaib Ali,52,Faisalabad,Operations,Mouse,Accessories,5,2500,0.15,10625.0,Card,Completed,4
ORD018,2026-01-31,Hassan Rauf,32,Karachi,HR,Monitor,Electronics,4,35000,0.15,119000.0,Cash,Cancelled,5
ORD019,2026-01-02,Sara Ahmed,21,Lahore,IT,Keyboard,Accessories,5,4500,0.05,21375.0,Cash,Completed,1
ORD020,2026-02-24,Talha Khan,26,Faisalabad,Marketing,Keyboard,Accessories,3,4500,0.15,11475.0,EasyPaisa,Completed,4
ORD021,2026-01-25,Huzaifa Khan,45,Islamabad,Finance,Tablet,Electronics,2,55000,0.0,110000.0,EasyPaisa,Pending,1
ORD022,2026-03-28,Rayyan Ahmed,24,Lahore,Sales,Phone,Accessories,1,65000,0.15,55250.0,Card,Cancelled,4
ORD023,2026-03-13,Laiba Noor,33,Karachi,Finance,Headphones,Electronics,4,8000,0.05,30400.0,Cash,Completed,5
ORD024,2026-02-12,Owais Raza,49,Rawalpindi,Sales,Laptop,Electronics,1,120000,0.05,114000.0,EasyPaisa,Completed,2
ORD025,2026-03-09,Shahzaib Ali,47,Islamabad,Finance,Tablet,Electronics,1,55000,0.15,46750.0,EasyPaisa,Completed,2
ORD026,2026-05-29,Arham Ali,52,Karachi,Operations,Mouse,Accessories,2,2500,0.0,5000.0,Bank Transfer,Completed,1
ORD027,2026-01-15,Anum Ahmed,23,Lahore,IT,Smartwatch,Electronics,5,18000,0.05,85500.0,Cash,Completed,4
ORD028,2026-05-29,Fahad Rauf,20,Hyderabad,IT,Phone,Accessories,5,65000,0.05,308750.0,EasyPaisa,Cancelled,5
ORD029,2026-06-21,Eman Raza,38,Lahore,HR,Monitor,Electronics,3,35000,0.05,99750.0,EasyPaisa,Completed,3
ORD030,2026-01-03,Laiba Noor,54,Karachi,IT,Smartwatch,Electronics,3,18000,0.0,54000.0,Card,Cancelled,3
ORD031,2026-03-04,Danish Khan,36,Lahore,Finance,Headphones,Electronics,3,8000,0.0,24000.0,Bank Transfer,Cancelled,5
ORD032,2026-06-19,Ayesha Noor,26,Islamabad,IT,Laptop,Electronics,5,120000,0.1,540000.0,Cash,Cancelled,2
ORD033,2026-03-29,Fatima Khan,34,Hyderabad,Finance,Mouse,Accessories,3,2500,0.05,7125.0,Bank Transfer,Completed,1
ORD034,2026-01-01,Maham Ali,26,Faisalabad,HR,Tablet,Electronics,3,55000,0.0,165000.0,Card,Pending,5
ORD035,2026-01-29,Sara Ahmed,27,Hyderabad,IT,Tablet,Electronics,5,55000,0.0,275000.0,Bank Transfer,Cancelled,5
ORD036,2026-01-11,Bilal Ahmed,41,Karachi,HR,Headphones,Electronics,4,8000,0.05,30400.0,Card,Completed,1
ORD037,2026-06-08,Arham Ali,27,Lahore,Sales,Monitor,Electronics,5,35000,0.15,148750.0,Card,Pending,1
ORD038,2026-06-21,Abdullah Khan,33,Islamabad,Sales,Headphones,Electronics,3,8000,0.15,20400.0,Cash,Pending,1
ORD039,2026-04-28,Danish Khan,37,Lahore,Sales,Smartwatch,Electronics,2,18000,0.05,34200.0,Cash,Completed,4
ORD040,2026-03-13,Danish Khan,50,Rawalpindi,Operations,Monitor,Electronics,3,35000,0.0,105000.0,Bank Transfer,Completed,1
ORD041,2026-01-10,Ayesha Noor,45,Islamabad,Operations,Mouse,Accessories,2,2500,0.1,4500.0,Bank Transfer,Pending,5
ORD042,2026-03-07,Ahmed Raza,45,Karachi,Marketing,Phone,Accessories,4,65000,0.05,247000.0,Card,Completed,4
ORD043,2026-06-19,Abdullah Khan,25,Faisalabad,HR,Phone,Accessories,3,65000,0.1,175500.0,Bank Transfer,Pending,3
ORD044,2026-02-19,Owais Raza,42,Faisalabad,Operations,Tablet,Electronics,3,55000,0.05,156750.0,Card,Cancelled,5
ORD045,2026-03-19,Bilal Ahmed,31,Rawalpindi,Marketing,Mouse,Accessories,4,2500,0.0,10000.0,Bank Transfer,Pending,4
ORD046,2026-02-13,Huzaifa Khan,23,Islamabad,Marketing,Smartwatch,Electronics,2,18000,0.15,30600.0,Bank Transfer,Completed,2
ORD047,2026-02-07,Ali Khan,20,Lahore,Finance,Mouse,Accessories,2,2500,0.05,4750.0,Cash,Pending,4
ORD048,2026-04-13,Hassan Rauf,27,Faisalabad,Operations,Keyboard,Accessories,4,4500,0.15,15300.0,Cash,Completed,4
ORD049,2026-01-13,Talha Khan,33,Karachi,Finance,Keyboard,Accessories,2,4500,0.15,7650.0,Card,Pending,5
ORD050,2026-05-21,Laiba Noor,28,Faisalabad,Finance,Monitor,Electronics,4,35000,0.15,119000.0,EasyPaisa,Completed,2
ORD051,2026-06-10,Hassan Rauf,35,Rawalpindi,IT,Mouse,Accessories,5,2500,0.15,10625.0,Bank Transfer,Completed,3
ORD052,2026-02-05,Hamza Malik,32,Rawalpindi,Operations,Monitor,Electronics,3,35000,0.0,105000.0,Card,Completed,1
ORD053,2026-05-19,Laiba Noor,44,Karachi,Sales,Tablet,Electronics,4,55000,0.1,198000.0,EasyPaisa,Pending,5
ORD054,2026-05-03,Ali Khan,40,Islamabad,Finance,Laptop,Electronics,5,120000,0.15,510000.0,EasyPaisa,Cancelled,5
ORD055,2026-03-11,Owais Raza,49,Karachi,Finance,Keyboard,Accessories,4,4500,0.05,17100.0,Bank Transfer,Pending,2
ORD056,2026-04-11,Iqra Ali,54,Faisalabad,IT,Smartwatch,Electronics,2,18000,0.0,36000.0,Cash,Pending,2
ORD057,2026-03-08,Hira Shah,38,Lahore,Finance,Smartwatch,Electronics,2,18000,0.0,36000.0,Bank Transfer,Completed,4
ORD058,2026-01-21,Saad Malik,19,Faisalabad,Marketing,Mouse,Accessories,4,2500,0.1,9000.0,Cash,Completed,2
ORD059,2026-03-05,Fatima Khan,19,Hyderabad,Sales,Phone,Accessories,1,65000,0.0,65000.0,Card,Completed,4
ORD060,2026-04-30,Eman Raza,34,Islamabad,Sales,Phone,Accessories,5,65000,0.05,308750.0,Cash,Completed,3
ORD061,2026-03-21,Iqra Ali,42,Rawalpindi,Operations,Phone,Accessories,5,65000,0.0,325000.0,Card,Completed,5
ORD062,2026-06-25,Fahad Rauf,25,Hyderabad,IT,Keyboard,Accessories,1,4500,0.1,4050.0,Bank Transfer,Cancelled,4
